cycle number,Ewe/V
625,2.114390
626,2.114460
627,2.114420
628,2.114270
629,2.114420
630,2.114330
631,2.114310
632,2.114370
633,2.114420
634,2.114310
635,2.114400
636,2.114310
637,2.114230
638,2.114210
639,2.114270
640,2.114120
641,2.114330
642,2.114310
643,2.114080
644,2.114210
645,2.114160
646,2.114040
647,2.114000
648,2.114080
649,2.114160
650,2.114140
651,2.114040
652,2.114140
653,2.114020
654,2.113980
655,2.113930
656,2.113950
657,2.113950
658,2.113810
659,2.113950
660,2.113850
661,2.113850
662,2.113850
663,2.113760
664,2.113810
665,2.113870
666,2.113870
667,2.113890
668,2.113810
669,2.113550
670,2.113910
671,2.113930
672,2.113550
673,2.113700
674,2.113640
675,2.113600
676,2.113600
677,2.113580
678,2.113720
679,2.113560
680,2.113660
681,2.113560
682,2.113430
683,2.113560
684,2.113640
685,2.113470
686,2.113560
687,2.113450
688,2.113450
689,2.113450
690,2.113390
691,2.113490
692,2.113450
693,2.113430
694,2.113410
695,2.113370
696,2.113350
697,2.113390
698,2.113320
699,2.113410
700,2.113340
701,2.113320
702,2.113200
703,2.113350
704,2.113260
705,2.113340
706,2.113320
707,2.113350
708,2.113200
709,2.113390
710,2.113200
711,2.113240
712,2.113280
713,2.113180
714,2.113240
715,2.113240
716,2.113180
717,2.113140
718,2.113180
719,2.113140
720,2.113200
721,2.113130
722,2.113180
723,2.113030
724,2.113050
725,2.112970
726,2.112970
727,2.113140
728,2.113140
729,2.113110
730,2.112970
731,2.113140
732,2.112820
733,2.113070
734,2.112840
735,2.113070
736,2.113070
737,2.113090
738,2.112930
739,2.112970
740,2.112950
741,2.112950
742,2.113030
743,2.113050
744,2.112990
745,2.112900
746,2.112920
747,2.112970
748,2.113070
749,2.112840
750,2.112880
751,2.113050
752,2.112930
753,2.112950
754,2.112930
755,2.112900
756,2.112970
757,2.112800
758,2.112710
759,2.112860
760,2.112840
761,2.112950
762,2.112820
763,2.112880
764,2.112900
765,2.112900
766,2.112920
767,2.112780
768,2.112880
769,2.112880
770,2.112800
771,2.112860
772,2.112710
773,2.112840
774,2.112860
775,2.112760
776,2.112720
777,2.112760
778,2.112920
779,2.112880
780,2.112920
781,2.112840
782,2.112880
783,2.112880
784,2.112900
785,2.112710
786,2.112780
787,2.112860
788,2.112820
789,2.112760
790,2.112780
791,2.112840
792,2.112760
793,2.112760
794,2.112780
795,2.112880
796,2.112840
797,2.112990
798,2.112930
799,2.112900
800,2.112990
801,2.112970
802,2.113070
803,2.113010
804,2.112920
805,2.113030
806,2.113030
807,2.113030
808,2.113050
809,2.113070
810,2.113010
811,2.113110
812,2.113070
813,2.113130
814,2.112970
815,2.113030
816,2.113110
817,2.113030
818,2.113050
819,2.113180
820,2.113050
821,2.113160
822,2.112950
823,2.113140
824,2.113030
825,2.113030
826,2.113070
827,2.113130
828,2.113070
829,2.113050
830,2.112970
831,2.113200
832,2.113130
833,2.113030
834,2.112920
835,2.112950
836,2.112920
837,2.113110
838,2.112970
839,2.112990
840,2.112970
841,2.113010
842,2.112990
843,2.112930
844,2.113090
845,2.113010
846,2.112950
847,2.113070
848,2.112930
849,2.113070
850,2.112970
851,2.113130
852,2.112900
853,2.112880
854,2.112860
855,2.112930
856,2.113010
857,2.112900
858,2.112990
859,2.113010
860,2.112970
861,2.113010
862,2.113010
863,2.113030
864,2.112920
865,2.113010
866,2.113030
867,2.112900
868,2.112840
869,2.112970
870,2.112950
871,2.113030
872,2.112860
873,2.112860
874,2.112920
875,2.112920
876,2.112950
877,2.112800
878,2.112820
879,2.112880
880,2.112990
881,2.112800
882,2.112860
883,2.112740
884,2.112840
885,2.112780
886,2.112840
887,2.112860
888,2.112860
889,2.112740
890,2.112820
891,2.112720
892,2.112860
893,2.112820
894,2.112800
895,2.112820
896,2.112720
897,2.112820
898,2.112670
899,2.112950
900,2.112780
901,2.112760
902,2.112720
903,2.112690
904,2.112760
905,2.112710
906,2.112760
907,2.112820
908,2.112720
909,2.112820
910,2.112670
911,2.112760
912,2.112800
913,2.112710
914,2.112780
915,2.112650
916,2.112670
917,2.112590
918,2.112630
919,2.112630
920,2.112690
921,2.112780
922,2.112630
923,2.112690
924,2.112610
925,2.112650
926,2.112710
927,2.112650
928,2.112720
929,2.112740
930,2.112670
931,2.112570
932,2.112690
933,2.112670
934,2.112670
935,2.112590
936,2.112610
937,2.112550
938,2.112460
939,2.112550
940,2.112590
941,2.112460
942,2.112550
943,2.112550
944,2.112550
945,2.112420
946,2.112500
947,2.112460
948,2.112480
949,2.112440
950,2.112510
951,2.112440
952,2.112500
953,2.112290
954,2.112360
955,2.112340
956,2.112480
957,2.112320
958,2.112420
959,2.112340
960,2.112380
961,2.112420
962,2.112400
963,2.112440
964,2.112300
965,2.112340
966,2.112250
967,2.112270
968,2.112320
969,2.112190
970,2.112130
971,2.112270
972,2.112230
973,2.112300
974,2.112300
975,2.112190
976,2.112320
977,2.112190
978,2.112210
979,2.112090
980,2.112170
981,2.112250
982,2.112150
983,2.112040
984,2.112040
985,2.112150
986,2.112110
987,2.112060
988,2.112000
989,2.112040
990,2.112110
991,2.112040
992,2.112110
993,2.112110
994,2.112020
995,2.111940
996,2.112020
997,2.112080
998,2.112080
999,2.112040
1000,2.112130
1001,2.111900
1002,2.112040
1003,2.111870
1004,2.112060
1005,2.111940
1006,2.112080
1007,2.111850
1008,2.111980
1009,2.111980
1010,2.111960
1011,2.111880
1012,2.111940
1013,2.111940
1014,2.111850
1015,2.111900
1016,2.111870
1017,2.111960
1018,2.111920
1019,2.111880
1020,2.111810
1021,2.111690
1022,2.111790
1023,2.111770
1024,2.111870
1025,2.111790
1026,2.111670
1027,2.111660
1028,2.111750
1029,2.111830
1030,2.111730
1031,2.111640
1032,2.111660
1033,2.111640
1034,2.111660
1035,2.111520
1036,2.111660
1037,2.111660
1038,2.111620
1039,2.111640
1040,2.111520
1041,2.111540
1042,2.111540
1043,2.111580
1044,2.111560
1045,2.111500
1046,2.111390
1047,2.111390
1048,2.111460
1049,2.111520
1050,2.111450
1051,2.111450
1052,2.111560
1053,2.111460
1054,2.111390
1055,2.111450
1056,2.111410
1057,2.111540
1058,2.111520
1059,2.111410
1060,2.111350
1061,2.111390
1062,2.111370
1063,2.111270
1064,2.111250
1065,2.111270
1066,2.111310
1067,2.111250
1068,2.111270
1069,2.111180
1070,2.111270
1071,2.111270
1072,2.111140
1073,2.111290
1074,2.111160
1075,2.111240
1076,2.111350
1077,2.111120
1078,2.111100
1079,2.111200
1080,2.111220
1081,2.111200
1082,2.111180
1083,2.111120
1084,2.111100
1085,2.111080
1086,2.111120
1087,2.111040
1088,2.111180
1089,2.111140
1090,2.111160
1091,2.111160
1092,2.111080
1093,2.111080
1094,2.111080
1095,2.111100
1096,2.110990
1097,2.111040
1098,2.111010
1099,2.111060
1100,2.111010
1101,2.111010
1102,2.110950
1103,2.111040
1104,2.110950
1105,2.110970
1106,2.110890
1107,2.110870
1108,2.110950
1109,2.111010
1110,2.110970
1111,2.110850
1112,2.110910
1113,2.110950
1114,2.110970
1115,2.110870
1116,2.110820
1117,2.110950
1118,2.110760
1119,2.110870
1120,2.110700
1121,2.111030
1122,2.110930
1123,2.110870
