        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.068804,   0.000979,   1.418554
   2.068337,   0.000982,   1.423198
   2.068027,   0.000985,   1.427841
    2.06756,   0.000988,   1.432485
    2.06725,   0.000992,   1.437128
   2.066783,   0.000995,   1.441772
   2.066473,   0.000998,   1.446415
   2.066162,   0.001001,   1.451059
   2.065696,   0.001004,   1.455702
   2.065385,   0.001008,   1.460346
   2.064919,   0.001011,    1.46499
   2.064452,   0.001014,   1.469634
   2.064142,   0.001017,   1.474278
   2.063675,    0.00102,   1.478921
   2.063364,   0.001024,   1.483565
   2.063054,   0.001027,   1.488207
   2.062587,    0.00103,    1.49285
   2.062277,   0.001033,   1.497494
    2.06181,   0.001036,   1.502138
   2.061499,    0.00104,   1.506782
   2.061033,   0.001043,   1.511426
   2.060722,   0.001046,   1.516069
   2.060256,   0.001049,   1.520713
    2.05979,   0.001052,   1.525357
   2.059634,   0.001056,   1.530001
   2.059324,   0.001059,   1.534645
   2.058857,   0.001062,   1.539288
   2.058702,   0.001065,   1.543932
   2.058236,   0.001069,   1.548575
   2.057925,   0.001072,   1.553219
   2.057459,   0.001075,   1.557862
   2.056993,   0.001078,   1.562506
   2.056682,   0.001081,   1.567149
   2.056371,   0.001085,   1.571792
    2.05606,   0.001088,   1.576435
   2.055749,   0.001091,   1.581077
   2.055283,   0.001094,    1.58572
   2.055128,   0.001097,   1.590363
   2.054506,   0.001101,   1.595006
   2.054351,   0.001104,   1.599649
   2.053884,   0.001107,   1.604293
   2.053418,    0.00111,   1.608936
   2.053107,   0.001113,   1.613579
   2.052797,   0.001117,   1.618222
   2.052486,    0.00112,   1.622865
   2.052175,   0.001123,   1.627508
   2.051709,   0.001126,   1.632152
   2.051553,   0.001129,   1.636796
   2.051087,   0.001133,    1.64144
   2.050776,   0.001136,   1.646084
   2.050465,   0.001139,   1.650727
   2.049999,   0.001142,   1.655371
   2.049688,   0.001145,   1.660014
   2.049222,   0.001149,   1.664657
   2.049067,   0.001152,   1.669301
   2.048911,   0.001155,   1.673945
   2.048445,   0.001158,   1.678589
   2.048134,   0.001161,   1.683233
   2.047668,   0.001165,   1.687877
   2.047513,   0.001168,    1.69252
   2.047046,   0.001171,   1.697164
   2.046736,   0.001174,   1.701807
   2.046425,   0.001177,   1.706451
   2.045959,   0.001181,   1.711094
   2.045803,   0.001184,   1.715738
   2.045492,   0.001187,   1.720382
   2.045026,    0.00119,   1.725026
   2.044871,   0.001193,    1.72967
   2.044404,   0.001197,   1.734313
   2.044094,     0.0012,   1.738957
   2.043783,   0.001203,     1.7436
   2.043472,   0.001206,   1.748243
   2.043161,   0.001209,   1.752886
   2.042695,   0.001213,    1.75753
   2.042539,   0.001216,   1.762174
   2.042229,   0.001219,   1.766818
   2.041762,   0.001222,   1.771461
   2.041607,   0.001226,   1.776104
   2.041296,   0.001229,   1.780748
    2.04083,   0.001232,   1.785391
   2.040519,   0.001235,   1.790035
   2.040208,   0.001238,   1.794679
   2.039897,   0.001242,   1.799323
   2.039587,   0.001245,   1.803967
   2.039431,   0.001248,   1.808611
    2.03912,   0.001251,   1.813254
    2.03881,   0.001254,   1.817898
   2.038499,   0.001258,    1.82254
   2.038188,   0.001261,   1.827183
   2.037722,   0.001264,   1.831826
   2.037566,   0.001267,   1.836469
     2.0371,    0.00127,   1.841112
   2.036945,   0.001274,   1.845756
   2.036479,   0.001277,     1.8504
   2.036168,    0.00128,   1.855044
   2.036012,   0.001283,   1.859687
   2.035701,   0.001286,   1.864331
   2.035391,    0.00129,   1.868974
    2.03508,   0.001293,   1.873618
   2.034614,   0.001296,   1.878261
   2.034458,   0.001299,   1.882905
   2.034147,   0.001302,   1.887549
   2.033836,   0.001306,   1.892193
   2.033681,   0.001309,   1.896837
   2.033215,   0.001312,    1.90148
   2.033059,   0.001315,   1.906124
   2.032749,   0.001318,   1.910768
   2.032438,   0.001322,   1.915412
   2.032127,   0.001325,   1.920056
   2.031816,   0.001328,   1.924699
   2.031505,   0.001331,   1.929343
   2.031194,   0.001334,   1.933987
   2.030884,   0.001338,   1.938631
   2.030728,   0.001341,   1.943275
   2.030262,   0.001344,   1.947918
   2.030107,   0.001347,   1.952562
    2.02964,    0.00135,   1.957206
   2.029485,   0.001354,    1.96185
   2.029174,   0.001357,   1.966494
   2.028863,    0.00136,   1.971138
   2.028553,   0.001363,   1.975781
   2.028397,   0.001366,   1.980423
   2.028086,    0.00137,   1.985066
   2.027931,   0.001373,    1.98971
   2.027465,   0.001376,   1.994352
   2.027309,   0.001379,   1.998995
   2.026999,   0.001383,   2.003639
   2.026688,   0.001386,   2.008283
   2.026377,   0.001389,   2.012927
   2.026066,   0.001392,    2.01757
   2.025911,   0.001395,   2.022213
   2.025444,   0.001399,   2.026857
   2.025289,   0.001402,   2.031501
   2.025134,   0.001405,   2.036145
   2.024667,   0.001408,   2.040788
   2.024356,   0.001411,   2.045432
   2.024201,   0.001415,   2.050075
    2.02389,   0.001418,   2.054719
   2.023579,   0.001421,   2.059362
   2.023269,   0.001424,   2.064006
   2.023113,   0.001427,   2.068648
   2.022647,   0.001431,   2.073291
   2.022491,   0.001434,   2.077935
   2.022181,   0.001437,   2.082579
    2.02187,    0.00144,   2.087223
   2.021714,   0.001443,   2.091867
   2.021404,   0.001447,    2.09651
   2.021093,    0.00145,   2.101154
   2.020782,   0.001453,   2.105798
   2.020471,   0.001456,   2.110442
   2.020316,   0.001459,   2.115086
   2.020005,   0.001463,   2.119729
   2.019694,   0.001466,   2.124373
   2.019539,   0.001469,   2.129017
   2.019383,   0.001472,   2.133661
   2.019073,   0.001475,   2.138304
   2.018762,   0.001479,   2.142947
   2.018451,   0.001482,    2.14759
   2.018296,   0.001485,   2.152234
   2.017985,   0.001488,   2.156877
   2.017674,   0.001491,    2.16152
   2.017363,   0.001495,   2.166164
   2.017052,   0.001498,   2.170807
   2.016897,   0.001501,   2.175451
   2.016741,   0.001504,   2.180095
   2.016431,   0.001507,   2.184738
    2.01612,   0.001511,   2.189381
   2.015809,   0.001514,   2.194025
   2.015498,   0.001517,   2.198668
   2.015343,    0.00152,   2.203312
   2.015032,   0.001523,   2.207955
   2.014721,   0.001527,   2.212599
   2.014566,    0.00153,   2.217243
    2.01441,   0.001533,   2.221886
   2.014099,   0.001536,   2.226529
   2.013944,    0.00154,   2.231173
   2.013633,   0.001543,   2.235817
   2.013322,   0.001546,   2.240461
   2.013011,   0.001549,   2.245104
   2.012701,   0.001552,   2.249747
   2.012545,   0.001556,    2.25439
   2.012234,   0.001559,   2.259033
   2.012079,   0.001562,   2.263676
   2.011768,   0.001565,    2.26832
   2.011613,   0.001568,   2.272963
   2.011302,   0.001572,   2.277606
   2.010991,   0.001575,    2.28225
    2.01068,   0.001578,   2.286893
   2.010525,   0.001581,   2.291536
   2.010214,   0.001584,    2.29618
   2.009903,   0.001588,   2.300824
   2.009748,   0.001591,   2.305468
   2.009593,   0.001594,   2.310112
   2.009437,   0.001597,   2.314755
   2.009126,     0.0016,   2.319399
   2.008971,   0.001604,   2.324043
   2.008505,   0.001607,   2.328687
   2.008349,    0.00161,    2.33333
   2.008194,   0.001613,   2.337973
