        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.584422,   0.000817,   1.296073
   2.583489,   0.000819,   1.300761
   2.582556,   0.000822,   1.305448
   2.581933,   0.000825,   1.310136
      2.581,   0.000828,   1.314824
   2.580533,   0.000831,   1.319511
   2.579444,   0.000834,   1.324198
   2.578822,   0.000837,   1.328885
     2.5782,    0.00084,   1.333572
   2.577267,   0.000843,   1.338259
   2.576489,   0.000846,   1.342947
   2.575711,   0.000849,   1.347635
   2.574778,   0.000852,   1.352322
   2.574156,   0.000855,    1.35701
   2.573222,   0.000858,   1.361697
     2.5726,   0.000861,   1.366384
   2.571511,   0.000864,   1.371071
   2.571044,   0.000867,   1.375759
   2.570422,    0.00087,   1.380447
   2.569489,   0.000873,   1.385134
   2.568556,   0.000876,   1.389821
   2.567933,   0.000879,   1.394508
      2.567,   0.000881,   1.399196
   2.566378,   0.000884,   1.403884
   2.565444,   0.000887,   1.408571
   2.564822,    0.00089,   1.413259
   2.563733,   0.000893,   1.417947
   2.563111,   0.000896,   1.422634
   2.562489,   0.000899,   1.427322
   2.561556,   0.000902,    1.43201
   2.560778,   0.000905,   1.436697
   2.560156,   0.000908,   1.441385
   2.559222,   0.000911,   1.446073
     2.5586,   0.000914,    1.45076
   2.557667,   0.000917,   1.455448
   2.556889,    0.00092,   1.460136
   2.556267,   0.000923,   1.464823
   2.555333,   0.000926,   1.469511
   2.554711,   0.000929,   1.474199
   2.553778,   0.000932,   1.478886
   2.552845,   0.000935,   1.483574
   2.552222,   0.000938,   1.488262
   2.551133,   0.000941,   1.492949
   2.550822,   0.000944,   1.497637
   2.549889,   0.000946,   1.502324
   2.549267,   0.000949,    1.50701
   2.548645,   0.000952,   1.511697
   2.547711,   0.000955,   1.516384
   2.546933,   0.000958,   1.521071
   2.546156,   0.000961,   1.525758
   2.545222,   0.000964,   1.530444
   2.544445,   0.000967,   1.535131
   2.543667,    0.00097,   1.539818
   2.542889,   0.000973,   1.544505
   2.541956,   0.000976,   1.549193
   2.541333,   0.000979,   1.553881
   2.540711,   0.000982,   1.558568
   2.539778,   0.000985,   1.563255
   2.539156,   0.000988,   1.567942
   2.538222,   0.000991,    1.57263
   2.537289,   0.000994,   1.577318
   2.536667,   0.000997,   1.582005
   2.535578,      0.001,   1.586692
   2.535111,   0.001003,   1.591379
   2.534022,   0.001006,   1.596067
     2.5334,   0.001008,   1.600755
   2.532778,   0.001011,   1.605442
   2.531845,   0.001014,    1.61013
   2.531222,   0.001017,   1.614818
   2.530289,    0.00102,   1.619505
   2.529356,   0.001023,   1.624192
   2.528733,   0.001026,   1.628878
     2.5278,   0.001029,   1.633565
   2.527022,   0.001032,   1.638253
   2.526089,   0.001035,   1.642941
   2.525467,   0.001038,   1.647628
   2.524845,   0.001041,   1.652315
   2.523911,   0.001044,   1.657002
   2.523289,   0.001047,   1.661689
     2.5222,    0.00105,   1.666376
   2.521267,   0.001053,   1.671064
     2.5208,   0.001056,   1.675752
