cycle number,Ewe/V
1160,1.989090
1161,1.989130
1162,1.989150
1163,1.989260
1164,1.989070
1165,1.989010
1166,1.988880
1167,1.988990
1168,1.988900
1169,1.988940
1170,1.988800
1171,1.988820
1172,1.988750
1173,1.988820
1174,1.988650
1175,1.988730
1176,1.988710
1177,1.988650
1178,1.988610
1179,1.988550
1180,1.988310
1181,1.988460
1182,1.988440
1183,1.988310
1184,1.988310
1185,1.988330
1186,1.988150
1187,1.988150
1188,1.988060
1189,1.987980
1190,1.987940
1191,1.988000
1192,1.988000
1193,1.987810
1194,1.987940
1195,1.987940
1196,1.987960
1197,1.987830
1198,1.987710
1199,1.987910
1200,1.987680
1201,1.987640
1202,1.987710
1203,1.987640
1204,1.987660
1205,1.987680
1206,1.987580
1207,1.987520
1208,1.987560
1209,1.989170
1210,1.989200
1211,1.989170
1212,1.989110
1213,1.989170
1214,1.989150
1215,1.989300
1216,1.989090
1217,1.989110
1218,1.988990
1219,1.989030
1220,1.989070
1221,1.989150
1222,1.988960
1223,1.989030
1224,1.988940
1225,1.988970
1226,1.988990
1227,1.988940
1228,1.988990
1229,1.988970
1230,1.988960
1231,1.989010
1232,1.988940
1233,1.989010
1234,1.988970
1235,1.989050
1236,1.988900
1237,1.988990
1238,1.988840
1239,1.988860
1240,1.988820
1241,1.988230
1242,1.988130
1243,1.988000
1244,1.987870
1245,1.987730
1246,1.987660
1247,1.987700
1248,1.987560
1249,1.987520
1250,1.987500
1251,1.987490
1252,1.987370
1253,1.987350
1254,1.987350
1255,1.987410
1256,1.987290
1257,1.987260
1258,1.987200
1259,1.987180
1260,1.987070
1261,1.986990
1262,1.987010
1263,1.987100
1264,1.986950
1265,1.986840
1266,1.986800
1267,1.986930
1268,1.986630
1269,1.986820
1270,1.986590
1271,1.986650
1272,1.986530
1273,1.986700
1274,1.986550
1275,1.986420
1276,1.986400
1277,1.986360
1278,1.986470
1279,1.986360
1280,1.986320
1281,1.986360
1282,1.986320
1283,1.986170
1284,1.986130
1285,1.986020
1286,1.986130
1287,1.986050
1288,1.986020
1289,1.986000
1290,1.985770
1291,1.985880
1292,1.985860
1293,1.985750
1294,1.985730
1295,1.985790
1296,1.985790
1297,1.985670
1298,1.985520
1299,1.985690
1300,1.985690
1301,1.985600
1302,1.985600
1303,1.985480
1304,1.985630
1305,1.985520
1306,1.985560
1307,1.985440
1308,1.985390
1309,1.985390
1310,1.985480
1311,1.985460
1312,1.985500
1313,1.985480
1314,1.985370
1315,1.985330
1316,1.985290
1317,1.985250
1318,1.985290
1319,1.985310
1320,1.985190
1321,1.985190
1322,1.985120
1323,1.984910
1324,1.984930
1325,1.984790
1326,1.984810
1327,1.984870
1328,1.984810
1329,1.984760
1330,1.984600
1331,1.984600
1332,1.984550
1333,1.984430
1334,1.984490
1335,1.984510
1336,1.984390
1337,1.984450
1338,1.984300
1339,1.984200
1340,1.983990
1341,1.984050
1342,1.984010
1343,1.983930
1344,1.983970
1345,1.983970
1346,1.983800
1347,1.983760
1348,1.983690
1349,1.983590
1350,1.983570
1351,1.983530
1352,1.983460
1353,1.983490
1354,1.983480
1355,1.983320
1356,1.983320
1357,1.983150
1358,1.983070
1359,1.983130
1360,1.983070
1361,1.982980
1362,1.983060
1363,1.982880
1364,1.982860
1365,1.982830
1366,1.982900
1367,1.982860
1368,1.982920
1369,1.982860
1370,1.982830
1371,1.982830
1372,1.982830
1373,1.982730
1374,1.982650
1375,1.982620
1376,1.982620
1377,1.982390
1378,1.982410
1379,1.982440
1380,1.982270
1381,1.982290
1382,1.982230
1383,1.982160
1384,1.982080
1385,1.982060
1386,1.982120
1387,1.982060
1388,1.981950
1389,1.982010
1390,1.981910
1391,1.981910
1392,1.981780
1393,1.981660
1394,1.981600
1395,1.981640
1396,1.981700
1397,1.981680
1398,1.981450
1399,1.981620
1400,1.981450
1401,1.981300
1402,1.981340
